City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,nabire,-3.3667,135.4833,23.32,92,73,2.61,ID,1690137040
82,susuman,62.7833,148.1667,9.85,88,83,0.97,RU,1690137059
83,sisimiut,66.9395,-53.6735,7.35,86,84,1.98,GL,1690137101
84,constantia,44.1833,28.65,21.5,62,1,3.4,RO,1690137044
85,talnakh,69.4865,88.3972,11.23,89,9,0.89,RU,1690137053
86,labuan,5.2767,115.2417,26.2,88,20,0.0,MY,1690137107
87,borzya,50.3833,116.5167,15.62,86,100,1.39,RU,1690137443
88,port macquarie,-31.4333,152.9167,9.94,80,74,4.33,AU,1690137321
89,qamdo,31.1667,97.2333,6.51,90,100,1.52,CN,1690137099
90,new norfolk,-42.7826,147.0587,9.84,86,86,1.9,AU,1690137069
91,hoemul-li,41.4339,129.67,21.14,97,100,0.21,KP,1690137443
92,aquin,18.2833,-73.4,30.15,64,100,2.92,HT,1690137443
93,langepas,61.2544,75.2124,18.34,69,24,0.95,RU,1690137327
94,sumbe,-11.2061,13.8437,20.41,91,71,2.93,AO,1690137100
95,magadan,59.5667,150.8,11.41,90,100,1.0,RU,1690137294
96,college,64.8569,-147.8028,25.11,62,40,0.0,US,1690137070
97,olyokminsk,60.3736,120.4264,17.67,76,0,1.01,RU,1690137444
98,tukrah,32.5341,20.5791,28.94,71,0,2.86,LY,1690137444
99,arteche,12.2645,125.4048,26.68,82,100,8.22,PH,1690137097
100,kargil,34.5667,76.1,15.61,58,22,1.82,IN,1690137444
101,bethel,41.3712,-73.414,30.86,47,0,4.12,US,1690137040
102,freetown,8.484,-13.2299,27.84,78,75,6.17,SL,1690137444
103,yatou,37.15,122.3833,23.67,94,11,2.68,CN,1690137445
104,mont-laurier,46.5501,-75.4993,25.79,32,100,2.35,CA,1690137445
105,puerto lleras,3.0223,-73.4044,29.79,58,100,2.55,CO,1690137445
106,shubarkuduk,49.1447,56.4872,23.45,37,7,5.2,KZ,1690137445
107,beruniy,41.6911,60.7525,28.98,48,0,4.12,UZ,1690137445
108,paita,-5.0892,-81.1144,25.2,67,0,6.46,PE,1690137445
109,porto empedocle,37.2934,13.5264,33.51,49,0,0.51,IT,1690137445
